id	tok	eng	cmn
644	ma Kanata li pona.	Canada is good.	
645	ma kasi	forest, jungle	
646	Maketonija	Macedonia	
647	Malakasi	Madagascar, Malagasy	
648	ma	land, country, region, outside area	
649	Malasija	Malaysia, Malay	
650	Malawi	Malawi	
651	ma li lon anpa mi.	The land is beneath me.	
652	Mali	Mali	
653	Malipe	Morocco	
654	ma li pona lukin.	The countryside is good to look at.	
655	ma lon telo	Island	
656	mama	adjective: of the parent, parental, maternal, fatherly, motherly, mumsy	
657	mama	a parent in general (mother or father)	
658	mama (e)	verb transitive: to mother sb., to wet-nurse, mothering	
659	mama mama	grandparent	
660	mama meli	mother	
661	mama meli	mother	
662	mama meli o awen!	Mama, wait.	
663	mama mije	father	
664	mama mije	father	
665	mama mi li moli la mi pilin ike.	My parents die, I feel bad.	
666	mama	mother, father, parent	
667	mama	noun: parent, mother, father	
668	mama ona li kepeken kasi nasa.	His mother used pot.	
669	mama	parent	
670	ma Mewika li weka ala, tan ma Kupa.	The USA is not away from Cuba.	
671	ma mi li pimeja.	My land is dark.	
672	mani	adjective: financial, financially, monetary, pecuniary	
673	mani	adverb: financially	
674	mani	money, currency	
675	mani	noun: money, material wealth, currency, dollar, capital	
676	mani pi ma ante li pona, tawa mi.	I like currency of other nations.	
677	ma	noun: land, earth, country, (outdoor) area	
678	ma pi jan Keli	Keli's country	
679	ma seme li pona, tawa sina?	Which countries do you like?	
680	Masija	Hungary, Hungarian	
681	ma sina	your country	
682	Masu	Egypt	
683	ma telo	mud, swamp	
684	ma tomo Akajela	Cairo (Egypt)	
685	ma tomo Alana	Atlanta (USA)	
686	ma tomo Alawa	Ottawa (Canada)	
687	ma tomo Alenta	Atlanta	
688	ma tomo Alipasi	Halifax (Canada)	
689	ma tomo Anpu	Hamburg (Germany)	
690	ma tomo Ansetan	Amsterdam (Netherlands)	
691	ma tomo Asina	Athens (Greece)	
692	ma tomo	city, town	
693	ma tomo Ele	Los Angeles (USA)	
694	ma tomo Esupo	Espoo (Finland)	
695	ma tomo Iwesun	Hilversum (Netherlands)	
696	ma tomo Kakawi	Calgary (Canada)	
697	ma tomo Kenpisi	Cambridge (USA, GB)	
698	ma tomo Kunte	Bangkok (Thailand)	
699	ma tomo Lantan li suli.	London is big.	
700	ma tomo Lanten	London (England)	
701	ma tomo lawa	capital	
702	ma tomo Lesinki	Helsinki (Finland)	
703	ma tomo Loma	Rome	
704	ma tomo Loma	Rome (Italy)	
705	ma tomo Manten	Moncton (Canada)	
706	ma tomo Mesiko	Mexico City (Mexico)	
707	ma tomo Milano	Milan (Italy)	
708	ma tomo Minsen	Munich (Germany)	
709	ma tomo Monkela	Montreal (Canada)	
710	ma tomo Napoli	Naples (Italy)	
711	ma tomo Nujoka	New York City (USA)	
712	ma tomo Osaka	Osaka (Japan)	
713	ma tomo Paki	Paris (France)	
714	ma tomo Pasen	Boston (USA)	
715	ma tomo Pelin	Berlin	
716	ma tomo Pelin	Berlin (Germany)	
717	ma tomo Peminan	Birmingham (England)	
718	ma tomo Pesin	Beijing, Peking (China)	
719	ma tomo Pilense	Florence (Italy)	
720	ma tomo Polan	Portland (USA)	
721	ma tomo Putapesi	Budapest (Hungary)	
722	ma tomo Sakata	Jakarta (Indonesia)	
723	ma tomo Sanpansiko	San Francisco (USA)	
724	ma tomo Sawi	Sackville (Canada)	
725	ma tomo Sene	Geneva (Switzerland)	
726	ma tomo Sensan	St. John's (Canada)	
727	ma tomo Sesija	Shediac (Canada)	
728	ma tomo Sije	Dieppe (Canada)	
729	ma tomo Solu	Seoul (South Korea)	
730	ma tomo Tanpele	Tampere (Finland)	
731	ma tomo Telawi	Tel Aviv (Israel)	
732	ma tomo Tokijo	Tokyo (Japan)	
733	ma tomo Towano	Toronto (Canada)	
734	ma tomo	town	
735	ma tomo Tuku	Turku (Finland)	
736	ma tomo Wankuwa	Vancouver (Canada)	
737	ma tomo Wenesija	Venice (Italy)	
738	meli	adjective: female, feminine, womanly	
739	meli en mije	Gender	
740	meli (insa)	person who identifies as female, e.g. male-to-female transsexual person	
741	meli Italija	Italian woman	
742	meli lili	daughter	
743	meli li lon sewi mije	woman on top	
744	meli li nasa e mije.	Women will drive men crazy.	
745	meli mije	masculine girl, butch, tomboy	
746	meli mi nanpa wan li nasa.	My first girlfriend was crazy.	
747	meli	noun: woman, female, girl, wife, girlfriend	
748	meli (olin)	wife, girlfriend	
749	meli pi pana moku	waitress	
750	meli sama	sister	
751	meli unpa	female sexual partner	
752	meli	woman, wife, girlfriend, female	
753	Mesiko	Mexico	
754	Mewika	USA, American	
755	mi anpa e jan utala.	I defeated the warrior.	
756	mi en meli mi li wan.	My girlfriend and I got married.	
757	mi en sina li jan pona.	You and I are friends.	
758	mi	I, we, me, our	
759	Mijama	Myanmar	
760	mi jan li suli.	I am somebody and am important.	
761	mi jan Pepe.	I am Pepe.	
762	mi jan pi toki pona.	I am a Toki Ponan.	
763	mije	adjective: male, masculine, manly	
764	mije Epanja	Spanish man	
765	mije (insa)	person who identifies as male, e.g. female-to-male transsexual person	
766	mije lili	son	
767	mije li lon sewi meli	missionary position	
768	mije	man, husband, boyfriend, male	
769	mije meli	feminine guy	
770	mije	noun: man, male, husband, boyfriend	
771	mije (olin)	husband, boyfriend	
772	mije sama	brother	
773	mije unpa	male sexual partner	
774	mi jo e ilo.	I have a tool.	
775	mi jo e kili.	I have a fruit.	
776	mi jo e tomo tawa sina. mi pana e ni tawa sina.	I have your car. I give it to you.	
777	mi jo e tomo tawa tu.	I own two cars.	
778	mi kalama kepeken ilo.	I make noise using an instrument.	
779	mi kama e pakala.	I caused an accident.	
780	mi kama jo e telo.	I got the water.	
781	mi kama, tan ma Elopa.	I come from Europe.	
782	mi kama tan ma Mewika.	I come from America.	
783	mi kama tan ma tomo Pelin.	I'm from Berlin.	
784	mi ken ala ken pilin e monsi sina?	may I touch your butt?	
785	mi ken ala kute e toki sina.	I can't hear your talking.	
786	mi ken ala lape.	I can't sleep.	
787	mi kepeken ilo.	I'm using tools.	
788	mi kepeken poki li kepeken ilo moku.	I'm using a bowl and a spoon.	
789	mi kepeken poki ni.	I'm using that cup.	
790	mi kule e lipu	I'm coloring the paper.	
791	mi kute e kalama musi.	I'm listening to music.	
792	mi kute e toki sina.	I hear your talking.	
793	mi lape ala.	I'm not sleeping.	
794	mi lape la ali li pona.	When I'm asleep, everything is good.	
795	mi lape. mi sona.	I sleep. I know.	
796	mi lawa pona e jan.	I lead people well.	
797	mile moku e telo	to be thirsty	
798	mi li jan Ken.	My name is Ken.	
799	mi lon e sina.	I made you aware of reality. I forced you to be to present and alert.	
800	mi lon ma kasi.	I'm in the forest.	
801	mi lon, tan seme?	Why am I here?	
802	mi lon tomo.	I'm in the house.	
803	mi lon.	Yes, i do.	
804	mi lukin ala e poki laso.	I don't see the blue bag.	
805	mi lukin e ma lon poka pi jan pona mi.	I look at the land with my friend.	
806	mi lukin e ma. ni li pona, tawa mi.	I'm watching the countryside. This is good to me.	
807	mi lukin e ma poka jan pona mi.	I look at the land with my friend.	
808	mi lukin e mije anu meli.	I see a man or a women.	
809	mi lukin e ni.	I am looking at that.	
810	mi lukin e soweli luka.	I saw five mammals.	
811	mi lukin e waso tu wan.	I saw three birds.	
812	mi lukin, kepeken ilo suno.	I look using a flashlight.	
813	mi lukin sewi e tomo suli.	I am looking up at the big building.	
814	mi lukin taso e meli ni! ali li pona.	I only looked at that girl! Everything's okay.	
815	(mi meli.) mi olin e meli.	I am a lesbian	
816	(mi mije.) mi olin e mije.	I am gay (male)	
817	mi moku e kili e telo.	I eat/drink fruit and water.	
818	mi moku e kili.	I eat fruit.	
819	mi moku.	I eat.	
820	mi moku.	I eat.	
821	mi moku.	I'm eating.	
822	mi moku, kepeken ilo moku.	I eat using a fork/spoon/ any type of eating utensil.	
823	mi moku lili e kili lili.	I nibble (eat a little) the small fruit.	
824	mi moku li pakala.	I eat and destroy.	
825	mi moku lon poka sina.	I'm eating beside [or with] you.	
826	mi moku, lon tomo.	I eat in the house.	
827	mi moku mute. sina moku lili.	I eat more than you.	
828	mi moku poka jan pona mi.	I ate beside my friend.	
829	mi moku, tan ni: mi wile moku.	I eat because I'm hungry.	
830	mi musi ala.	I'm not having fun. / I'm bored.	
831	mi musi taso.	I'm just joking.	
832	mi mute li lukin lili e ona.	We barely saw it.	
833	mi mute li moku e telo nasa mute.	We drank a lot of vodka.	
834	mi mute li pana e moku, tawa ona mute.	We gave them food.	
835	mi mute o moku e kala!	Let's eat fish.	
836	mi mute o musi!	Let's have fun.	
837	mi mute o tawa!	Let's go.	
838	mi mute	we, us	
839	mi nanpa e mani mi, lon esun suli.	I count my money at a supermarket.	
840	mi olin e sina	I love you	
841	mi olin e sina.	I love you.	
842	mi olin kin e sina.	I still love you. / I love you too.	
843	mi pali mute la mi pilin ike.	When I work a lot, I feel bad.	
844	mi pali taso.	I just work. (All I ever do is work.)	
845	mi pana e ko jaki.	I crapped.	
846	mi pana e sona pi toki pona tawa ona.	I teach her in toki pona.	
847	mi pana e telo jelo.	I peed.	
848	mi pilin e ni: ona li jo ala e mani.	I think that he doesn't have money.	
849	mi pilin e ni: sina ike.	I think this: You're bad.	
850	mi pilin e seli sijelo sina.	I feel your bodily warmth.	
851	mi pilin ijo.	I'm thinking (about) something.	
852	mi pilin ike.	I feel bad. / I feel sad.	
853	mi pilin lete.	I'm cold.	
854	mi pilin pi meli ni.	I'm thinking about that woman.	
855	mi pilin pona.	I feel good. / I feel happy.	
856	mi pini e lape sina.	I ended your sleep. I woke you up.	
857	mi pona ala pona, tawa sina?	Do you like me?	
858	mi pona e ale mi la mi pona e mi.	When I improve all areas of my life, I am making myself good.	
859	mi pona e ijo.	I'm fixing something.	
860	mi pona e ilo suno, kepeken ilo lili.	I fixed the flashlight using a small tool.	
861	mi pona e tomo, tawa jan pakala.	I fixed the house for the disabled man.	
862	mi pona tan ni: mi lon.	I'm okay because I'm alive.	
863	mi pona. taso meli mi li pakala.	I'm okay. But my girlfriend is injured.	
864	mi	pronoun: I, we, my, our	
865	mi seme e jan telo nasa?	What Shall We Do With The Drunken Sailor?	
866	mi sona ala e nimi pi ona mute.	I don't know their names.	
867	mi sona e ni taso.	I know only that. (That's all I know.)	
868	mi sona e tan.	I know the reason. / I know why.	
869	mi suli.	I'm important. / I'm fat.	
870	mi suli mute. sina suli lili.	I'm bigger than you.	
871	mi taso li lon.	I'm alone.	
872	mi tawa!	Bye!	
873	mi tawa e kiwen.	I'm moving the rock.	
874	mi tawa	I'm going. Bye!	
875	mi tawa (said by person leaving); tawa pona (said by person staying)	good-bye	
876	mi tawa supa lape.	I'm going to bed.	
877	mi tawa tomo mi.	I'm going to my house.	
878	mi tawa tomo toki. ona li pona, tawa mi.	I go the chat room. It is good for me.	
879	mi telo e mi, lon tomo telo.	I bathe myself in the restroom.	
880	mi toki, tawa sina.	I talk to you.	
881	mi utala ike.	I fight badly.	
882	mi wawa ala.	I'm not strong. / I'm weak.	
883	mi weka e ijo tu ni.	I got rid of those two things.	
884	mi weka e ike jan la mi weka e ike mi.	When I forgive somebody's wrongdoings, I cleanse myself of negativity.	
885	mi weka.	I was away.	
886	mi weka.	I was away.	
887	mi wile ala e ijo. mi lukin taso.	I don't want anything. I'm just looking.	
888	mi wile ala pali.	I'm lazy.	
889	mi wile ala pali.	I'm lazy.	
890	mi wile ala tawa musi.	I don't want to dance.	
891	mi wile ala toki, tawa sina.	I don't want to talk to you.	
892	mi wile e ilo moku.	I need a fork.	
893	mi wile e moku e telo.	I want food and water.	
894	mi wile e ni: mi lon tomo.	I want this: I'm at home.	
895	mi wile e sitelen ma.	I want the map.	
896	mi wile e soweli lili.	I want a puppy.	
897	mi wile e suwi!	I want a cookie!	
898	mi wile e suwi sin!	I want another/more cookie(s)!	
899	mi wile kama sona e toki Inli.	I want to learn English.	
900	mi wile kin tawa tomo mi.	I still want to go to my house.	
901	mi wile lon tomo.	I want to be at home. / I want in a house.	
902	mi wile lukin e ma ante.	I want to see other countries.	
903	mi wile lukin e ma e suno.	I want to see the land and the sun.	
904	mi wile lukin e ma.	I want to see the countryside.	
905	mi wile lukin e tomo mi. taso mi lon ma ante.	I want to see my house. But I'm in a different country.	
906	mi wile moku e kili loje.	I want to eat a red fruit.	
907	mi wile moku e waso.	I want to eat chicken.	
908	mi wile moku. taso mi jo ala e moku.	I want to eat. But I don't have food.	
909	mi wile pakala e sina.	I must destroy you.	
910	"mi wile pali kepeken nimi ""lon""."	"I need more exercises with ""lon""."	
911	mi wile pana e ko jaki.	I need to crap.	
912	mi wile pana e telo jelo.	I need to pee.	
913	mi wile sin e telo pi lape ala.	I need more coffee.	
914	mi wile tawa ma Oselija.	I want to go to Australia.	
915	mi wile tawa ma Tosi.	I want to go to Germany.	
916	mi wile tawa. taso mi ken ala.	I want to go, but I can't.	
917	mi wile tawa tomo ona, kepeken tomo tawa mi.	I want to go to his house using my car.	
918	mi wile tawa weka.	I want to leave.	
919	mi wile toki meli.	I want to talk about girls.	
920	mi wile unpa e ona.	I want to have sex with him/her.	
921	mi wile unpa e sina	I want to have sex with you	
922	moku	adjective: eating	
923	moku	adverb: eating	
924	moku e telo nasa	to drink alcohol	
925	moku e telo	to drink	
926	moku (e)	verb transitive: to eat, to drink, to swallow, to ingest, to consume	
927	moku	food, eat, drink	
928	moku	food, meal, to eat, to drink	
929	moku lili	pill	
930	moku lili pi pilin pona mute	strong euphoric drug taken orally, e.g. MDMA	
931	moku lili	snack, small ingestible item	
932	moku li lon insa mi.	Food is inside me.	
933	moku li pona, tawa ona.	He loves to eat.	
934	moku	noun: food, meal	
935	moku pona!	Good food! Enjoy your meal!	
936	moku suwi	sweets, candy, chololate, etc.	
937	moku telo	liquid food, e.g. soup	
938	moku walo	whiteish food, e.g. rice	
939	moli	adjective: dead, dying, fatal, deadly, lethal, mortal, deathly, killing	
940	moli	adverb: mortally	
941	moli	death; to die, to kill	
942	moli (e)	verb transitive: to kill	
943	moli	noun: death, decease	
944	moli	verb intransitive: to die, to be dead	
945	monsi	adjective: back, rear	
946	monsi	a person's back	
947	monsi	back, behind, butt	
948	monsi	back, butt	
949	monsi	butt, ass	
950	monsi	noun: back, rear end, butt, behind	
951	monsi	rear, back, behind	
952	monsuta	adjective: fearful, afraid	
953	monsuta	monster, monstrosity, fearful thing, fright, mythical creatures, fear	
954	monsuta	noun: monster, monstrosity, fearful thing, fright, mythical creatures, fear	
955	monsuta waso pi pan linja li pali ali.	The Flying Spaghetti Monster has created the world.	
956	Motowa	Moldova	
957	mu	adjective: animal nois-	
958	mu	adverb: animal nois-	
959	mu (e)	verb transitive: to make animal nois	
960	mu!	interjection: woof! meow! moo! etc. (cute animal noise)	
961	Mulitanija	Mauritania	
962	mu!	Meow.	
963	mu!	Meow! Woof! Grrr! Moo! (sounds made by animals)	
964	mu!	meow, woof, moo, etc.	
965	mun	adjective: lunar	
966	mun li pimeja (ale)	it's new moon	
967	mun li pimeja e suno	solar eclipse	
968	mun li sike (ale)	it's full moon	
969	mun	moon, lunar	
970	mun	noun: moon, lunar, night sky object, star	
971	mu	noun: animal noise	
972	musi	adjective: artful, fun, recreational	
973	musi	adverb: cheerfully	
974	musi (e)	verb transitive: to amuse, to entertain	
975	musi	noun: fun, playing, game, recreation, art, entertainment	
976	musi pona!	Good fun! Have fun!	
977	musi	to have fun, to amuse; game, fun	
978	musi	verb intransitive: to play, to have fun	
979	mute	adjective: many, very, much, several, a lot, abundant, numerous, more	
980	mute	adjective numeral: 20 (official Toki Pona book)	
981	mute	adverb: many, very, much, several, a lot, abundant, numerous, more	
982	mute (e)	verb transitive: to make many or much	
983	mute	many, a lot	
984	mute	many, several, very, 20 (Is rarely used.)	
985	mute	noun: amount, quantity	
986	mute seme?	how much?	
987	mute wan	20 + 1 = 21 (Is rarely used.)	
988	mu	woof, meow, moo, any animal sound	
989	namako	adjective: spicy, piquant	
990	namako (e)	verb transitive: to spice, to flavor, to decorate	
991	namako	noun: spice, something extra, food additive, accessory	
992	namako	spice, something extra, food additive, accessory	
993	Namipija	Namibia	
994	nanpa	adjective numeral: To build ordinal numbers.	
995	nanpa (e)	verb transitive: to count, to reckon, to number	
996	nanpa	noun: number, numeral	
997	nanpa	number, numeral, to count, to reckon	
998	nanpa pi ilo toki	phone number	
999	nanpa pi ma tomo	zip code	
1000	nasa	adjective: silly, crazy, foolish, drunk, strange, stupid, weird	
1001	nasa	adverb: silly, crazy, foolish, drunk, strange, stupid, weird	
1002	nasa	crazy, foolish	
1003	nasa	crazy, stupid, silly, weird, drunk, strange	
1004	nasa (e)	verb transitive: to drive crazy, to make weird	
1005	nasa lukin	funny-looking	
1006	nasa	noun: stupidity, foolishness, silliness, nonsense, idiocy, obtuseness, muddler	
